,,,,,,,,,,,,,,,,,
Math for Programming 104,,,,Period 3,Tooling,,,Blueprints,,,Speeds/Feeds,,,Parts,,,Tooling
,,,,,,,,,,,,,,,,,
Circular Interpolation 114,,,,,,,,,,,,,,,,,
,,,,Period 4,Blueprints,,,Tooling,,,Tooling,,,Tooling,,,Programming
Cutter Compensation 144,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Process Planning 135,,,,Lathe,Programming,,,Programming,,,Setup,,,Setup,,,Run
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shop:,,Class:,,Mill,Programming,,,Programming,,,Setup,,,Setup,,,Run
,,,,,,,,,,,,,,,,,
Programming Theory,,Tool Path Optimization,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Work Offsets,,Tool Offsets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Machine Maintenance,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CNC Programming,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CNC Setup,,,,,,,,,,,,,,,,,

--------------------------------------------------

,,,,,,,,,,,,,,,,,
Week 5,,,,,Day 1,,,Day 2,,,Day 3,,,Day 4,,,Day 5
,,,,,,,,,,,,,,,,,
Advanced G-Code 103,,,,Period 1,Parts/Mics,,,Prog/Mics,,,Math,,,Math,,,Mics
,,,,,,,,,,,,,,,,,
Canned Cycles 104,,,,,,,,,,,,,,,,,
,,,,Period 2,Parts/Theory,,,Prog/Theory,,,Parts,,,Parts,,,Blueprint
Subprogramming 116,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Trig for Tool Paths 105,,,,Period 3,Tooling,,,Parts,,,Speeds/Feeds,,,Parts,,,Prog/Parts
,,,,,,,,,,,,,,,,,
Thread Milling 115,,,,,,,,,,,,,,,,,
,,,,Period 4,Blueprints,,,Tooling,,,Tooling,,,Tooling,,,Tooling
Macro Intro 145,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Complex Blueprints 136,,,,Lathe,Canned Cycles,,,Threading,,,Grooving,,,Setup,,,Run
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shop:,,Class:,,Mill,Canned Cycles,,,Boring,,,Contouring,,,Setup,,,Run
,,,,,,,,,,,,,,,,,
Advanced Programming,,High Speed Machining,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fixture Design,,Part Inspection,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Environmental Safety,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CNC Operation,,,,,,,,,,,,,,,,,
